row_id,origin,analyst_event_type,subject_ref,subject_name,row_count,bidder_name,bidder_type,bid_type,value,range_low,range_high,enterprise_value,date_precision,date_recorded,date_public,date_sort_proxy,all_cash,rule_id,source_observation_ids,source_span_ids,confidence,review_flags,explanation
row_0024,literal,drop,bidder_party_d,Party D,1,Party D,F,NA,NA,NA,NA,NA,exact_day,2016-08-02 00:00:00,2016-08-02 00:00:00,NA,NA,EXIT-01,obs_evt_022,span_0019,high,NA,Literal status observation recorded bidder withdrawal or non-participation.
row_0018,literal,proposal,bidder_gw,G& W,1,G& W,S,Formal,25,NA,NA,NA,exact_day,2016-08-12 00:00:00,2016-08-12 00:00:00,NA,1,LITERAL-PROPOSAL,obs_evt_023,span_0020|span_0021,high,NA,Literal proposal observation compiled directly into analyst row.
row_0019,literal,bid_press_release,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,exact_day,2016-08-15 00:00:00,2016-08-15 00:00:00,NA,NA,LITERAL-PROCESS,obs_evt_025,span_0023,high,NA,Literal process observation compiled directly into analyst row.
row_0006,literal,bidder_interest,bidder_party_c,Party C,1,Party C,S,NA,NA,NA,NA,NA,month_early,NA,NA,2016-07-05 00:00:00,NA,LITERAL-STATUS,obs_evt_009,span_0007,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0020,literal,bidder_interest,bidder_party_a,Party A,1,Party A,S,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,LITERAL-STATUS,obs_evt_001,span_0002,high,NA,Literal expressed-interest status compiled directly into analyst row.
row_0007,literal,nda,bidder_party_c,Party C,1,Party C,S,NA,NA,NA,NA,NA,month_early,NA,NA,2016-07-05 00:00:00,NA,LITERAL-AGREEMENT,obs_evt_010,span_0007,high,NA,Literal agreement observation compiled into NDA-family analyst row.
row_0010,literal,proposal,bidder_party_b,Party B,1,Party B,S,Formal,24,NA,NA,NA,month_late,NA,NA,2016-07-25 00:00:00,1,LITERAL-PROPOSAL,obs_evt_014,span_0011|span_0001|span_0010,high,NA,Literal proposal observation compiled directly into analyst row.
row_0011,literal,proposal,bidder_party_e,Party E,1,Party E,S,Formal,21.26,NA,NA,NA,month_late,NA,NA,2016-07-25 00:00:00,1,LITERAL-PROPOSAL,obs_evt_015,span_0012|span_0001|span_0013,high,NA,Literal proposal observation compiled directly into analyst row.
row_0012,literal,proposal,bidder_party_d,Party D,1,Party D,F,Formal,21,NA,NA,NA,month_late,NA,NA,2016-07-25 00:00:00,1,LITERAL-PROPOSAL,obs_evt_016,span_0014|span_0001|span_0010,high,NA,Literal proposal observation compiled directly into analyst row.
row_0013,literal,proposal,bidder_party_c,Party C,1,Party C,S,Informal,19.3,NA,NA,NA,month_late,NA,NA,2016-07-25 00:00:00,1,LITERAL-PROPOSAL,obs_evt_017,span_0015|span_0001,high,NA,Literal proposal observation compiled directly into analyst row.
row_0014,literal,proposal,bidder_party_f,Party F,1,Party F,S,Informal,19.2,NA,NA,NA,month_late,NA,NA,2016-07-25 00:00:00,1,LITERAL-PROPOSAL,obs_evt_018,span_0016|span_0001,high,NA,Literal proposal observation compiled directly into analyst row.
row_0026,derived,drop,bidder_party_b,Party B,1,Party B,S,NA,NA,NA,NA,NA,month_late,NA,NA,2016-07-25 00:00:00,NA,EXIT-04,obs_evt_014,span_0011|span_0001|span_0010,high,reason:lost_to_winner,Execution outcome closed out remaining active bidders in favor of the winner.
row_0027,derived,drop,bidder_party_c,Party C,1,Party C,S,NA,NA,NA,NA,NA,month_late,NA,NA,2016-07-25 00:00:00,NA,EXIT-04,obs_evt_017,span_0015|span_0001,high,reason:lost_to_winner,Execution outcome closed out remaining active bidders in favor of the winner.
row_0022,derived,final_round_ann,NA,NA,1,NA,NA,Formal,NA,NA,NA,NA,month_mid,NA,NA,2016-06-15 00:00:00,1,ROUND-02,obs_evt_008,span_0001,high,NA,Solicitation requested LOIs/binding offers or carried formal attachments.
row_0021,literal,executed,bidder_gw,G& W,1,G& W,S,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,LITERAL-OUTCOME,obs_evt_024,span_0022,high,NA,Literal outcome observation compiled directly into analyst row.
